gene_id,symbol,gene_name,log2_fold_change,logCPM,LR,PValue,FDR,entrezgene_id
ENSCAFG00845007784,MRFAP1,,2.992138995,8.733892385,521.5730837,1.92E-115,2.55E-111,608548
ENSCAFG00845002083,CORO1A,coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252],3.190365949,12.60157479,399.0891435,8.69E-89,5.75E-85,489949
ENSCAFG00845009430,YIPF3,Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023],2.527809126,7.657538278,352.9235156,9.78E-79,4.31E-75,481817
ENSCAFG00845000887,CDIPT,,2.313166781,7.365647972,320.3669336,1.20E-71,3.99E-68,489940
ENSCAFG00845016135,YBX1,,2.363942891,9.412470801,308.4286591,4.80E-69,1.27E-65,607025
ENSCAFG00845007809,ALDOC,"aldolase, fructose-bisphosphate C [Source:NCBI gene (formerly Entrezgene);Acc:480622]",3.210663618,6.118202627,302.6373296,8.77E-68,1.93E-64,480622
ENSCAFG00845018065,CFL1,,2.342429004,11.44438124,301.0144513,1.98E-67,3.74E-64,476022
ENSCAFG00845020039,,,3.094572939,8.16659497,299.6189386,3.99E-67,6.60E-64,100684983
ENSCAFG00845018743,HNRNPD,heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036],2.33399371,9.543287803,297.9417263,9.25E-67,1.36E-63,478450
ENSCAFG00845021389,,,2.801589648,8.570112373,296.0506193,2.39E-66,3.16E-63,475399
ENSCAFG00845023393,EIF4A1,eukaryotic translation initiation factor 4A1 [Source:NCBI gene (formerly Entrezgene);Acc:100688577],2.537855295,11.08117243,294.5607427,5.04E-66,6.07E-63,100688577
ENSCAFG00845028855,LY96,lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156],3.649624017,7.481284205,294.015677,6.63E-66,7.31E-63,610524
ENSCAFG00845022725,SOD1,superoxide dismutase 1 [Source:NCBI gene (formerly Entrezgene);Acc:403559],2.888988474,7.565287379,290.4110588,4.05E-65,4.12E-62,403559
ENSCAFG00845023387,SCAND1,SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566],2.655546875,7.135105682,284.3568864,8.44E-64,7.97E-61,609014
ENSCAFG00845006300,NEDD8,NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732],2.422664146,7.308255077,279.2370035,1.10E-62,9.71E-60,480265
ENSCAFG00845025287,,,2.833634479,6.326608475,277.7910544,2.27E-62,1.88E-59,119866325
ENSCAFG00845023296,PSMB4,proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541],2.632659402,9.082564023,276.6026991,4.13E-62,3.21E-59,475848
ENSCAFG00845026930,RPS13,ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386],2.733113629,10.70778455,267.332345,4.33E-60,3.18E-57,480235
ENSCAFG00845026764,TRAPPC1,trafficking protein particle complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19894],2.628001626,7.020346663,262.1344453,5.88E-59,4.09E-56,479490
ENSCAFG00845021180,PFDN6,prefoldin subunit 6 [Source:NCBI gene (formerly Entrezgene);Acc:474872],3.304788944,7.405570331,261.9356698,6.50E-59,4.30E-56,474872
ENSCAFG00845006499,MYL6,myosin light chain 6B [Source:HGNC Symbol;Acc:HGNC:29823],3.036065982,11.31948511,257.2417785,6.85E-58,4.32E-55,607030
ENSCAFG00845030865,RPL29,,2.691069134,11.1211408,256.7718659,8.67E-58,5.22E-55,476601
ENSCAFG00845026325,C27H12orf57,chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521],3.126940999,9.407336291,254.234252,3.10E-57,1.78E-54,119866431
ENSCAFG00845008917,H3-3A,,2.716395674,10.5582494,248.7889544,4.77E-56,2.63E-53,480110
ENSCAFG00845030234,CD48,,2.39624438,9.429183234,248.4120915,5.76E-56,3.05E-53,488642
ENSCAFG00845001977,,,2.72657365,7.619416337,242.8800427,9.26E-55,4.54E-52,612644
ENSCAFG00845016464,BET1,Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562],2.46678364,6.818018218,239.7207629,4.52E-54,2.14E-51,475231
ENSCAFG00845019400,COPE,COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234],2.529541185,8.293158848,238.877086,6.91E-54,3.15E-51,476663
ENSCAFG00845022043,CUTA,cutA divalent cation tolerance homolog [Source:HGNC Symbol;Acc:HGNC:21101],3.441997383,6.445758163,238.5751139,8.04E-54,3.55E-51,474874
ENSCAFG00845017083,MAGOH,"mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]",2.531671994,6.605958625,236.2860511,2.54E-53,1.08E-50,479562
ENSCAFG00845013139,,,1.93313914,7.481832012,234.8234706,5.29E-53,2.19E-50,119874448
ENSCAFG00845009045,ARPC4,actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707],2.545352566,10.26782424,234.4494057,6.38E-53,2.56E-50,106560075
ENSCAFG00845002092,ETV2,RNA binding motif protein 42 [Source:HGNC Symbol;Acc:HGNC:28117],2.263543181,7.837786893,232.3631257,1.82E-52,7.08E-50,612999
ENSCAFG00845014234,EIF3H,eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273],2.247846785,8.991930917,231.9091881,2.29E-52,8.64E-50,475081
ENSCAFG00845003605,PDAP1,PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634],1.93018276,6.506864478,231.8328945,2.37E-52,8.73E-50,489861
ENSCAFG00845023974,AMDHD1,,3.080519756,6.802258218,231.7014532,2.54E-52,9.07E-50,482609
ENSCAFG00845018673,PRKCSH,protein kinase C substrate 80K-H [Source:HGNC Symbol;Acc:HGNC:9411],2.133016449,8.452655479,231.268421,3.15E-52,1.10E-49,484941
ENSCAFG00845011260,RBM8A,RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905],1.994999143,7.391705669,231.1933055,3.27E-52,1.11E-49,475827
ENSCAFG00845029848,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698],2.838177133,6.005304379,230.3488918,5.00E-52,1.65E-49,100855975
ENSCAFG00845014235,TSPO,translocator protein [Source:HGNC Symbol;Acc:HGNC:1158],2.750534445,8.05952419,227.5062453,2.09E-51,6.73E-49,474475
ENSCAFG00845004716,GMFG,glia maturation factor gamma [Source:HGNC Symbol;Acc:HGNC:4374],2.845061873,10.16046425,226.9370054,2.78E-51,8.74E-49,611578
ENSCAFG00845014852,ATP5PF,,2.448908952,7.52957803,226.5760748,3.33E-51,1.02E-48,119867048
ENSCAFG00845003277,ATP5F1A,ATP synthase F1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:480149],2.211887043,9.992925466,226.1090417,4.21E-51,1.26E-48,480149
ENSCAFG00845008374,SDF2,stromal cell derived factor 2 [Source:HGNC Symbol;Acc:HGNC:10675],2.184258096,6.996809612,225.4158483,5.96E-51,1.75E-48,480626
ENSCAFG00845009822,AIP,aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:358],2.355817702,6.838739938,223.4999099,1.56E-50,4.49E-48,610467
ENSCAFG00845027222,SELENOK,selenoprotein K [Source:NCBI gene (formerly Entrezgene);Acc:476586],2.634626256,7.089091439,223.0116287,1.99E-50,5.61E-48,476586
ENSCAFG00845001263,HSPBP1,HSPA (Hsp70) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24989],2.800422469,5.547983888,221.9026226,3.48E-50,9.59E-48,476381
ENSCAFG00845027786,TAF11,TATA-box binding protein associated factor 11 [Source:HGNC Symbol;Acc:HGNC:11544],2.244946304,5.974769912,220.1290258,8.48E-50,2.29E-47,474881
ENSCAFG00845007374,AHSA1,activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189],2.216463165,7.645942133,219.7460605,1.03E-49,2.72E-47,480402
ENSCAFG00845019800,ANP32A,acidic nuclear phosphoprotein 32 family member A [Source:NCBI gene (formerly Entrezgene);Acc:403534],1.895515803,8.161700777,219.5295228,1.15E-49,2.97E-47,403534
ENSCAFG00845014680,LUC7L3,LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309],2.089398514,7.568234588,219.4514762,1.19E-49,3.03E-47,100856465
ENSCAFG00845018527,RUVBL1,RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474],2.827885007,7.263381889,217.7933223,2.74E-49,6.84E-47,476512
ENSCAFG00845013707,TPRA1,transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413],2.504628731,8.059452054,217.4443817,3.26E-49,8.00E-47,484621
ENSCAFG00845016341,NUP35,nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797],2.360856863,5.206215356,216.7254176,4.68E-49,1.13E-46,478830
ENSCAFG00845025797,PHB2,prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306],2.035525876,7.873602748,215.7740249,7.55E-49,1.78E-46,486716
ENSCAFG00845008628,UBXN1,UBX domain protein 1 [Source:HGNC Symbol;Acc:HGNC:18402],2.428921626,8.052387516,215.5859882,8.30E-49,1.93E-46,476055
ENSCAFG00845000407,,,2.022642633,7.52389931,212.2754698,4.38E-48,9.99E-46,610745
ENSCAFG00845007548,,,2.853287903,6.731601095,211.1494394,7.71E-48,1.73E-45,119863903
ENSCAFG00845009197,ARHGDIA,Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678],1.906408288,9.313691836,210.5722619,1.03E-47,2.27E-45,475924
ENSCAFG00845019602,PRR13,proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528],2.65320234,8.50986099,210.5334051,1.05E-47,2.28E-45,100688649
ENSCAFG00845001628,EMP3,,2.956171233,10.12610696,209.3645512,1.89E-47,4.03E-45,484408
ENSCAFG00845000439,RUVBL2,RuvB like AAA ATPase 2 [Source:HGNC Symbol;Acc:HGNC:10475],2.402494545,6.341162649,208.4373575,3.01E-47,6.32E-45,476418
