gene_id,symbol,gene_name,log2_fold_change,logCPM,LR,PValue,FDR,entrezgene_id
ENSCAFG00845007784,MRFAP1,,3.180070254,8.733892385,550.1540147,1.17E-121,1.54E-117,608548
ENSCAFG00845013139,,,2.679708344,7.481832012,406.36966,2.26E-90,1.50E-86,119874448
ENSCAFG00845020039,,,3.727553226,8.16659497,401.8755613,2.15E-89,9.49E-86,100684983
ENSCAFG00845002083,CORO1A,coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252],3.250074222,12.60157479,395.0079356,6.72E-88,2.22E-84,489949
ENSCAFG00845030865,RPL29,,3.391103468,11.1211408,380.8349482,8.19E-85,2.17E-81,476601
ENSCAFG00845008917,H3-3A,,3.472362513,10.5582494,378.3105731,2.90E-84,6.40E-81,480110
ENSCAFG00845023296,PSMB4,proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541],3.170805306,9.082564023,375.79111,1.03E-83,1.94E-80,475848
ENSCAFG00845021180,PFDN6,prefoldin subunit 6 [Source:NCBI gene (formerly Entrezgene);Acc:474872],4.00785378,7.405570331,362.8375195,6.79E-81,1.12E-77,474872
ENSCAFG00845007548,,,3.828960176,6.731601095,348.8203184,7.66E-78,1.13E-74,119863903
ENSCAFG00845021389,,,3.11049541,8.570112373,347.6966422,1.35E-77,1.78E-74,475399
ENSCAFG00845017083,MAGOH,"mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]",3.209381996,6.605958625,341.6218099,2.83E-76,3.40E-73,479562
ENSCAFG00845023974,AMDHD1,,3.854374897,6.802258218,337.8533276,1.87E-75,2.06E-72,482609
ENSCAFG00845018743,HNRNPD,heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036],2.588570197,9.543287803,337.2007844,2.60E-75,2.64E-72,478450
ENSCAFG00845014234,EIF3H,eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273],2.813949158,8.991930917,335.2756901,6.82E-75,6.44E-72,475081
ENSCAFG00845006300,NEDD8,NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732],2.764717466,7.308255077,329.4667773,1.26E-73,1.11E-70,480265
ENSCAFG00845016135,YBX1,,2.551975791,9.412470801,329.2810229,1.38E-73,1.14E-70,607025
ENSCAFG00845016464,BET1,Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562],3.022124558,6.818018218,329.164664,1.46E-73,1.14E-70,475231
ENSCAFG00845024769,RPL18A,,3.380269959,11.32330602,324.5352736,1.49E-72,1.09E-69,476672
ENSCAFG00845026930,RPS13,ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386],3.137853654,10.70778455,320.1891931,1.32E-71,9.17E-69,480235
ENSCAFG00845023393,EIF4A1,eukaryotic translation initiation factor 4A1 [Source:NCBI gene (formerly Entrezgene);Acc:100688577],2.732000017,11.08117243,316.687093,7.63E-71,5.05E-68,100688577
ENSCAFG00845000887,CDIPT,,2.420528213,7.365647972,315.9530048,1.10E-70,6.95E-68,489940
ENSCAFG00845018673,PRKCSH,protein kinase C substrate 80K-H [Source:HGNC Symbol;Acc:HGNC:9411],2.593650141,8.452655479,309.0009089,3.60E-69,2.17E-66,484941
ENSCAFG00845004716,GMFG,glia maturation factor gamma [Source:HGNC Symbol;Acc:HGNC:4374],3.421566777,10.16046425,304.7872775,2.98E-68,1.72E-65,611578
ENSCAFG00845003277,ATP5F1A,ATP synthase F1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:480149],2.656829494,9.992925466,303.1088033,6.93E-68,3.82E-65,480149
ENSCAFG00845008374,SDF2,stromal cell derived factor 2 [Source:HGNC Symbol;Acc:HGNC:10675],2.662479889,6.996809612,301.8373654,1.31E-67,6.94E-65,480626
ENSCAFG00845025287,,,3.117200914,6.326608475,300.8662527,2.13E-67,1.09E-64,119866325
ENSCAFG00845018577,ENSA,endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360],2.821045794,8.337087649,300.4407089,2.64E-67,1.29E-64,475837
ENSCAFG00845029833,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372],3.500779659,6.874075033,299.4324528,4.38E-67,2.07E-64,480894
ENSCAFG00845019885,UQCRH,,3.02214328,8.342783239,297.8052338,9.91E-67,4.52E-64,608530
ENSCAFG00845023387,SCAND1,SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566],2.822260338,7.135105682,295.8556556,2.63E-66,1.16E-63,609014
ENSCAFG00845014852,ATP5PF,,2.943498279,7.52957803,294.6886039,4.73E-66,2.02E-63,119867048
ENSCAFG00845001977,,,3.129321488,7.619416337,290.2316121,4.43E-65,1.83E-62,612644
ENSCAFG00845007701,SLIRP,,4.139897116,5.503621103,290.1704054,4.56E-65,1.83E-62,490810
ENSCAFG00845023892,,,3.15227902,6.298159906,289.6635865,5.89E-65,2.27E-62,487870
